variable,codigo,n,desde,hasta,categoria
pib_real,NY.GDP.MKTP.KD,66,1960,2025,1-actividad
pib_crecimiento,NY.GDP.MKTP.KD.ZG,65,1961,2025,1-actividad
pib_per_capita,NY.GDP.PCAP.KD,66,1960,2025,1-actividad
productividad,SL.GDP.PCAP.EM.KD,35,1991,2025,1-actividad
desempleo,SL.UEM.TOTL.ZS,35,1991,2025,2-laboral
participacion_laboral,SL.TLF.CACT.ZS,36,1990,2025,2-laboral
empleo_poblacion,SL.EMP.TOTL.SP.ZS,35,1991,2025,2-laboral
inflacion_ipc,FP.CPI.TOTL.ZG,66,1960,2025,3-precios
deflactor_pib,NY.GDP.DEFL.KD.ZG,65,1961,2025,3-precios
tasa_interes_real,FR.INR.RINR,40,1986,2025,4-monetario
m3_pib,FM.LBL.BMNY.GD.ZS,64,1960,2025,4-monetario
credito_privado_pib,FS.AST.PRVT.GD.ZS,64,1960,2025,4-monetario
tipo_cambio,PA.NUS.FCRF,66,1960,2025,4-monetario
reservas,FI.RES.TOTL.CD,66,1960,2025,4-monetario
exportaciones_pib,NE.EXP.GNFS.ZS,66,1960,2025,5-externo
importaciones_pib,NE.IMP.GNFS.ZS,66,1960,2025,5-externo
cuenta_corriente_pib,BN.CAB.XOKA.GD.ZS,58,1968,2025,5-externo
ied_pib,BX.KLT.DINV.WD.GD.ZS,56,1970,2025,5-externo
remesas_pib,BX.TRF.PWKR.DT.GD.ZS,56,1970,2025,5-externo
deuda_publica_pib,GC.DOD.TOTL.GD.ZS,21,1998,2024,6-fiscal
ingresos_tributarios_pib,GC.TAX.TOTL.GD.ZS,21,1998,2024,6-fiscal
gasto_publico_pib,NE.CON.GOVT.ZS,66,1960,2025,6-fiscal
poblacion,SP.POP.TOTL,66,1960,2025,7-demografia
crecimiento_poblacional,SP.POP.GROW,65,1961,2025,7-demografia
poblacion_15_64,SP.POP.1564.TO.ZS,66,1960,2025,7-demografia
urbanizacion,SP.URB.TOTL.IN.ZS,66,1960,2025,7-demografia
migracion_neta,SM.POP.NETM,66,1960,2025,7-demografia
gini,SI.POV.GINI,30,1980,2024,8-bienestar
pobreza_nacional,SI.POV.NAHC,13,2012,2024,8-bienestar
pobreza_extrema,SI.POV.DDAY,30,1980,2024,8-bienestar
consumo_hogares_pib,NE.CON.PRVT.ZS,66,1960,2025,8-bienestar
esperanza_vida,SP.DYN.LE00.IN,65,1960,2024,8-bienestar
inversion_pib,NE.GDI.TOTL.ZS,66,1960,2025,8-bienestar
