modelo,familia,origen,objetivo,paso,real,pronostico,error
Ingenuo,referencia,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,1.8907830514311774,0.10638408143714972
AR(1),Box-Jenkins,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.7366732671976792,0.9522742972036515
Random Forest,aprendizaje,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.029700943120466,0.2453019731264381
LSTM(16) v12,red neuronal,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.6391217167350733,0.8547227467410456
Comb. RF/AR(1) suave,combinacion,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.029700943120466,0.2453019731264381
Comb. RF/AR(1) dura,combinacion,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.029700943120466,0.2453019731264381
Comb. RF/ingenuo suave,combinacion,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.029700943120466,0.2453019731264381
Comb. LSTM/AR(1) suave,combinacion,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.6391217167350733,0.8547227467410456
Comb. RF/AR(1) umbral min,combinacion,2015-12-01 00:00:00,2016-01-01 00:00:00,1,1.7843989699940277,2.357707178828261,0.5733082088342334
Ingenuo,referencia,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,1.7843989699940277,-2.6674618818351536
AR(1),Box-Jenkins,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.646604078045546,-1.8052567737836354
Random Forest,aprendizaje,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.2741405008135605,-2.177720351015621
LSTM(16) v12,red neuronal,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.359733854837902,-2.0921269969912792
Comb. RF/AR(1) suave,combinacion,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.2741405008135605,-2.177720351015621
Comb. RF/AR(1) dura,combinacion,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.2741405008135605,-2.177720351015621
Comb. RF/ingenuo suave,combinacion,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.2741405008135605,-2.177720351015621
Comb. LSTM/AR(1) suave,combinacion,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.359733854837902,-2.0921269969912792
Comb. RF/AR(1) umbral min,combinacion,2016-01-01 00:00:00,2016-02-01 00:00:00,1,4.451860851829181,2.432008442422819,-2.0198524094063623
Ingenuo,referencia,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,4.451860851829181,3.2560323765482124
AR(1),Box-Jenkins,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,4.455046784250388,3.2592183089694187
Random Forest,aprendizaje,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,3.7486239320775816,2.5527954567966127
LSTM(16) v12,red neuronal,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,2.6924993523670073,1.4966708770860384
Comb. RF/AR(1) suave,combinacion,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,3.7486239320775816,2.5527954567966127
Comb. RF/AR(1) dura,combinacion,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,3.7486239320775816,2.5527954567966127
Comb. RF/ingenuo suave,combinacion,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,3.7486239320775816,2.5527954567966127
Comb. LSTM/AR(1) suave,combinacion,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,2.6924993523670073,1.4966708770860384
Comb. RF/AR(1) umbral min,combinacion,2016-02-01 00:00:00,2016-03-01 00:00:00,1,1.195828475280969,4.455046784250388,3.2592183089694187
Ingenuo,referencia,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,1.195828475280969,-1.688975158824646
AR(1),Box-Jenkins,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.2648752023785166,-0.6199284317270983
Random Forest,aprendizaje,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.610492744052042,-0.2743108900535729
LSTM(16) v12,red neuronal,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.432456398191901,-0.45234723591371395
Comb. RF/AR(1) suave,combinacion,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.610492744052042,-0.2743108900535729
Comb. RF/AR(1) dura,combinacion,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.610492744052042,-0.2743108900535729
Comb. RF/ingenuo suave,combinacion,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.610492744052042,-0.2743108900535729
Comb. LSTM/AR(1) suave,combinacion,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.432456398191901,-0.45234723591371395
Comb. RF/AR(1) umbral min,combinacion,2016-03-01 00:00:00,2016-04-01 00:00:00,1,2.884803634105615,2.2648752023785166,-0.6199284317270983
Ingenuo,referencia,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.884803634105615,1.0751240322069089
AR(1),Box-Jenkins,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,3.397149364453855,1.5874697625551488
Random Forest,aprendizaje,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.8898224861735793,1.0801428842748733
LSTM(16) v12,red neuronal,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.5999685360472533,0.7902889341485473
Comb. RF/AR(1) suave,combinacion,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.8898224861735793,1.0801428842748733
Comb. RF/AR(1) dura,combinacion,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.8898224861735793,1.0801428842748733
Comb. RF/ingenuo suave,combinacion,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.8898224861735793,1.0801428842748733
Comb. LSTM/AR(1) suave,combinacion,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,2.5999685360472533,0.7902889341485473
Comb. RF/AR(1) umbral min,combinacion,2016-04-01 00:00:00,2016-05-01 00:00:00,1,1.809679601898706,3.397149364453855,1.5874697625551488
Ingenuo,referencia,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,1.809679601898706,-0.5317712424983689
AR(1),Box-Jenkins,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.663265634773286,0.32181479037621097
Random Forest,aprendizaje,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.641751265104883,0.30030042070780816
LSTM(16) v12,red neuronal,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.3783286678056874,0.03687782340861245
Comb. RF/AR(1) suave,combinacion,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.641751265104883,0.30030042070780816
Comb. RF/AR(1) dura,combinacion,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.641751265104883,0.30030042070780816
Comb. RF/ingenuo suave,combinacion,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.641751265104883,0.30030042070780816
Comb. LSTM/AR(1) suave,combinacion,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.3783286678056874,0.03687782340861245
Comb. RF/AR(1) umbral min,combinacion,2016-05-01 00:00:00,2016-06-01 00:00:00,1,2.341450844397075,2.663265634773286,0.32181479037621097
Ingenuo,referencia,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,2.341450844397075,3.9153637566658572
AR(1),Box-Jenkins,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,3.0116601111538155,4.585573023422597
Random Forest,aprendizaje,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,1.9104379379519827,3.484350850220765
LSTM(16) v12,red neuronal,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,2.385269416790125,3.9591823290589074
Comb. RF/AR(1) suave,combinacion,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,1.9104379379519827,3.484350850220765
Comb. RF/AR(1) dura,combinacion,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,1.9104379379519827,3.484350850220765
Comb. RF/ingenuo suave,combinacion,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,1.9104379379519827,3.484350850220765
Comb. LSTM/AR(1) suave,combinacion,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,2.385269416790125,3.9591823290589074
Comb. RF/AR(1) umbral min,combinacion,2016-06-01 00:00:00,2016-07-01 00:00:00,1,-1.5739129122687823,3.0116601111538155,4.585573023422597
Ingenuo,referencia,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,-1.5739129122687823,-4.9378721518239965
AR(1),Box-Jenkins,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,0.2778454211738348,-3.0861138183813797
Random Forest,aprendizaje,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8659359092955097,-1.4980233302597046
LSTM(16) v12,red neuronal,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8983198718106014,-1.465639367744613
Comb. RF/AR(1) suave,combinacion,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8659359092955097,-1.4980233302597046
Comb. RF/AR(1) dura,combinacion,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8659359092955097,-1.4980233302597046
Comb. RF/ingenuo suave,combinacion,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8659359092955097,-1.4980233302597046
Comb. LSTM/AR(1) suave,combinacion,2016-07-01 00:00:00,2016-08-01 00:00:00,1,3.3639592395552143,1.8983198718106014,-1.465639367744613
