brazo,modelo,familia,origen,objetivo,paso,real,pronostico,error
A,Ingenuo,referencia,2015Q4,2016Q1,1,2.4690350506661796,2.1486955781197192,-0.32033947254646034
A,Deriva,referencia,2015Q4,2016Q1,1,2.4690350506661796,2.06119611896944,-0.4078389316967397
A,AR(1),Box-Jenkins,2015Q4,2016Q1,1,2.4690350506661796,2.623656507437901,0.15462145677172145
A,"ARMA(2,2)",Box-Jenkins,2015Q4,2016Q1,1,2.4690350506661796,2.6008300734065397,0.13179502274036015
A,"ARIMA(1,1,1)",Box-Jenkins,2015Q4,2016Q1,1,2.4690350506661796,2.072289079966116,-0.39674597070006357
A,Ridge sobre rezagos,regularizado,2015Q4,2016Q1,1,2.4690350506661796,1.8927074842556983,-0.5763275664104812
A,Random Forest,aprendizaje,2015Q4,2016Q1,1,2.4690350506661796,3.1122355199532388,0.6432004692870592
A,LSTM(16),red neuronal,2015Q4,2016Q1,1,2.4690350506661796,3.4508724490704035,0.9818373984042239
A,Comb. RF/AR(1) suave,combinacion,2015Q4,2016Q1,1,2.4690350506661796,3.1138300125814906,0.644794961915311
A,Comb. RF/AR(1) dura,combinacion,2015Q4,2016Q1,1,2.4690350506661796,3.1138300125814906,0.644794961915311
A,Comb. RF/ingenuo suave,combinacion,2015Q4,2016Q1,1,2.4690350506661796,3.1138300125814906,0.644794961915311
A,Comb. LSTM/AR(1) suave,combinacion,2015Q4,2016Q1,1,2.4690350506661796,3.703523437393688,1.2344883867275085
A,Comb. RF/AR(1) umbral min,combinacion,2015Q4,2016Q1,1,2.4690350506661796,2.623656507437901,0.15462145677172145
A,Ingenuo,referencia,2016Q1,2016Q2,1,2.3387224459939127,2.4690350506661796,0.1303126046722669
A,Deriva,referencia,2016Q1,2016Q2,1,2.3387224459939127,2.391731564808319,0.053009118814406175
A,AR(1),Box-Jenkins,2016Q1,2016Q2,1,2.3387224459939127,2.8599950360721436,0.5212725900782309
A,"ARMA(2,2)",Box-Jenkins,2016Q1,2016Q2,1,2.3387224459939127,2.376300992108253,0.037578546114340305
A,"ARIMA(1,1,1)",Box-Jenkins,2016Q1,2016Q2,1,2.3387224459939127,2.46793167232416,0.12920922633024734
A,Ridge sobre rezagos,regularizado,2016Q1,2016Q2,1,2.3387224459939127,3.2880931375447324,0.9493706915508198
A,Random Forest,aprendizaje,2016Q1,2016Q2,1,2.3387224459939127,3.7754457235550367,1.436723277561124
A,LSTM(16),red neuronal,2016Q1,2016Q2,1,2.3387224459939127,3.340103184112337,1.0013807381184243
A,Comb. RF/AR(1) suave,combinacion,2016Q1,2016Q2,1,2.3387224459939127,3.3509327856442264,1.0122103396503137
A,Comb. RF/AR(1) dura,combinacion,2016Q1,2016Q2,1,2.3387224459939127,3.3509327856442264,1.0122103396503137
A,Comb. RF/ingenuo suave,combinacion,2016Q1,2016Q2,1,2.3387224459939127,3.3509327856442264,1.0122103396503137
A,Comb. LSTM/AR(1) suave,combinacion,2016Q1,2016Q2,1,2.3387224459939127,3.537679831387069,1.1989573853931565
A,Comb. RF/AR(1) umbral min,combinacion,2016Q1,2016Q2,1,2.3387224459939127,2.8599950360721436,0.5212725900782309
A,Ingenuo,referencia,2016Q2,2016Q3,1,1.373699454669075,2.3387224459939127,0.9650229913248376
A,Deriva,referencia,2016Q2,2016Q3,1,1.373699454669075,2.260126054799115,0.88642660013004
A,AR(1),Box-Jenkins,2016Q2,2016Q3,1,1.373699454669075,2.734369459851114,1.360670005182039
A,"ARMA(2,2)",Box-Jenkins,2016Q2,2016Q3,1,1.373699454669075,2.795971896522234,1.422272441853159
A,"ARIMA(1,1,1)",Box-Jenkins,2016Q2,2016Q3,1,1.373699454669075,2.3328582051464073,0.9591587504773322
A,Ridge sobre rezagos,regularizado,2016Q2,2016Q3,1,1.373699454669075,2.8616207690806026,1.4879213144115275
A,Random Forest,aprendizaje,2016Q2,2016Q3,1,1.373699454669075,3.3839064155122713,2.0102069608431963
A,LSTM(16),red neuronal,2016Q2,2016Q3,1,1.373699454669075,3.311817012754107,1.938117558085032
A,Comb. RF/AR(1) suave,combinacion,2016Q2,2016Q3,1,1.373699454669075,3.7412644673360984,2.3675650126670233
A,Comb. RF/AR(1) dura,combinacion,2016Q2,2016Q3,1,1.373699454669075,3.7412644673360984,2.3675650126670233
A,Comb. RF/ingenuo suave,combinacion,2016Q2,2016Q3,1,1.373699454669075,3.7412644673360984,2.3675650126670233
A,Comb. LSTM/AR(1) suave,combinacion,2016Q2,2016Q3,1,1.373699454669075,3.462734035489911,2.089034580820836
A,Comb. RF/AR(1) umbral min,combinacion,2016Q2,2016Q3,1,1.373699454669075,3.6944226733833383,2.3207232187142632
A,Ingenuo,referencia,2016Q3,2016Q4,1,2.5820485593768705,1.373699454669075,-1.2083491047077954
A,Deriva,referencia,2016Q3,2016Q4,1,2.5820485593768705,1.273997668233086,-1.3080508911437845
A,AR(1),Box-Jenkins,2016Q3,2016Q4,1,2.5820485593768705,1.9066912002176304,-0.6753573591592401
A,"ARMA(2,2)",Box-Jenkins,2016Q3,2016Q4,1,2.5820485593768705,2.2531331256729263,-0.32891543370394416
A,"ARIMA(1,1,1)",Box-Jenkins,2016Q3,2016Q4,1,2.5820485593768705,1.3294196361967578,-1.2526289231801127
A,Ridge sobre rezagos,regularizado,2016Q3,2016Q4,1,2.5820485593768705,2.8544057456540575,0.27235718627718697
A,Random Forest,aprendizaje,2016Q3,2016Q4,1,2.5820485593768705,2.536983041339579,-0.04506551803729142
A,LSTM(16),red neuronal,2016Q3,2016Q4,1,2.5820485593768705,3.0434411276068722,0.46139256823000174
A,Comb. RF/AR(1) suave,combinacion,2016Q3,2016Q4,1,2.5820485593768705,3.1789275592793675,0.596878999902497
A,Comb. RF/AR(1) dura,combinacion,2016Q3,2016Q4,1,2.5820485593768705,3.1789275592793675,0.596878999902497
A,Comb. RF/ingenuo suave,combinacion,2016Q3,2016Q4,1,2.5820485593768705,3.1789275592793675,0.596878999902497
A,Comb. LSTM/AR(1) suave,combinacion,2016Q3,2016Q4,1,2.5820485593768705,3.153556962208507,0.5715084028316366
A,Comb. RF/AR(1) umbral min,combinacion,2016Q3,2016Q4,1,2.5820485593768705,3.1282906945779456,0.5462421352010751
A,Ingenuo,referencia,2016Q4,2017Q1,1,1.1875055265851087,2.5820485593768705,1.3945430327917618
A,Deriva,referencia,2016Q4,2017Q1,1,1.1875055265851087,2.512766561107016,1.3252610345219074
A,AR(1),Box-Jenkins,2016Q4,2017Q1,1,1.1875055265851087,2.8953220797640933,1.7078165531789846
A,"ARMA(2,2)",Box-Jenkins,2016Q4,2017Q1,1,1.1875055265851087,2.7304109051082444,1.5429053785231357
A,"ARIMA(1,1,1)",Box-Jenkins,2016Q4,2017Q1,1,1.1875055265851087,2.8785633039574865,1.6910577773723778
A,Ridge sobre rezagos,regularizado,2016Q4,2017Q1,1,1.1875055265851087,3.6286671317651336,2.441161605180025
A,Random Forest,aprendizaje,2016Q4,2017Q1,1,1.1875055265851087,2.815055313402013,1.6275497868169042
A,LSTM(16),red neuronal,2016Q4,2017Q1,1,1.1875055265851087,3.3172569533815177,2.129751426796409
A,Comb. RF/AR(1) suave,combinacion,2016Q4,2017Q1,1,1.1875055265851087,3.358997141044897,2.1714916144597884
A,Comb. RF/AR(1) dura,combinacion,2016Q4,2017Q1,1,1.1875055265851087,3.358997141044897,2.1714916144597884
A,Comb. RF/ingenuo suave,combinacion,2016Q4,2017Q1,1,1.1875055265851087,3.358997141044897,2.1714916144597884
A,Comb. LSTM/AR(1) suave,combinacion,2016Q4,2017Q1,1,1.1875055265851087,3.414175348520885,2.226669821935776
A,Comb. RF/AR(1) umbral min,combinacion,2016Q4,2017Q1,1,1.1875055265851087,3.309512478606762,2.1220069520216533
A,Ingenuo,referencia,2017Q1,2017Q2,1,1.3235952785685123,1.1875055265851087,-0.13608975198340367
A,Deriva,referencia,2017Q1,2017Q2,1,1.3235952785685123,1.0881039593488473,-0.23549131921966504
A,AR(1),Box-Jenkins,2017Q1,2017Q2,1,1.3235952785685123,1.7222345920646558,0.39863931349614345
A,"ARMA(2,2)",Box-Jenkins,2017Q1,2017Q2,1,1.3235952785685123,2.1329731795635873,0.809377900995075
A,"ARIMA(1,1,1)",Box-Jenkins,2017Q1,2017Q2,1,1.3235952785685123,1.17303655597032,-0.15055872259819236
A,Ridge sobre rezagos,regularizado,2017Q1,2017Q2,1,1.3235952785685123,2.335949909640483,1.0123546310719709
A,Random Forest,aprendizaje,2017Q1,2017Q2,1,1.3235952785685123,2.587953929498641,1.2643586509301286
A,LSTM(16),red neuronal,2017Q1,2017Q2,1,1.3235952785685123,3.0010207021136965,1.6774254235451842
A,Comb. RF/AR(1) suave,combinacion,2017Q1,2017Q2,1,1.3235952785685123,2.9050879166032852,1.581492638034773
A,Comb. RF/AR(1) dura,combinacion,2017Q1,2017Q2,1,1.3235952785685123,2.9050879166032852,1.581492638034773
A,Comb. RF/ingenuo suave,combinacion,2017Q1,2017Q2,1,1.3235952785685123,2.9050879166032852,1.581492638034773
A,Comb. LSTM/AR(1) suave,combinacion,2017Q1,2017Q2,1,1.3235952785685123,2.7214118292506706,1.3978165506821583
A,Comb. RF/AR(1) umbral min,combinacion,2017Q1,2017Q2,1,1.3235952785685123,2.6610194973404475,1.3374242187719352
A,Ingenuo,referencia,2017Q2,2017Q3,1,1.7211279491029075,1.3235952785685123,-0.3975326705343951
A,Deriva,referencia,2017Q2,2017Q3,1,1.7211279491029075,1.2294268517593545,-0.49170109734355294
A,AR(1),Box-Jenkins,2017Q2,2017Q3,1,1.7211279491029075,1.803078016780209,0.08195006767730151
A,"ARMA(2,2)",Box-Jenkins,2017Q2,2017Q3,1,1.7211279491029075,1.5358088709759543,-0.18531907812695314
A,"ARIMA(1,1,1)",Box-Jenkins,2017Q2,2017Q3,1,1.7211279491029075,1.3222157178802219,-0.3989122312226856
A,Ridge sobre rezagos,regularizado,2017Q2,2017Q3,1,1.7211279491029075,2.3842169293197344,0.6630889802168269
A,Random Forest,aprendizaje,2017Q2,2017Q3,1,1.7211279491029075,2.4400339963411435,0.718906047238236
A,LSTM(16),red neuronal,2017Q2,2017Q3,1,1.7211279491029075,1.232638451009409,-0.4884894980934984
A,Comb. RF/AR(1) suave,combinacion,2017Q2,2017Q3,1,1.7211279491029075,2.405925731846711,0.6847977827438037
A,Comb. RF/AR(1) dura,combinacion,2017Q2,2017Q3,1,1.7211279491029075,2.405925731846711,0.6847977827438037
A,Comb. RF/ingenuo suave,combinacion,2017Q2,2017Q3,1,1.7211279491029075,2.405925731846711,0.6847977827438037
A,Comb. LSTM/AR(1) suave,combinacion,2017Q2,2017Q3,1,1.7211279491029075,2.416760544146378,0.6956325950434707
A,Comb. RF/AR(1) umbral min,combinacion,2017Q2,2017Q3,1,1.7211279491029075,2.2253736910746356,0.5042457419717281
A,Ingenuo,referencia,2017Q3,2017Q4,1,1.3007349764224907,1.7211279491029075,0.42039297268041675
A,Deriva,referencia,2017Q3,2017Q4,1,1.3007349764224907,1.637648676583827,0.33691370016133626
A,AR(1),Box-Jenkins,2017Q3,2017Q4,1,1.3007349764224907,2.1166171529141247,0.815882176491634
A,"ARMA(2,2)",Box-Jenkins,2017Q3,2017Q4,1,1.3007349764224907,2.094477372778053,0.7937423963555621
A,"ARIMA(1,1,1)",Box-Jenkins,2017Q3,2017Q4,1,1.3007349764224907,1.7246318702974548,0.4238968938749641
A,Ridge sobre rezagos,regularizado,2017Q3,2017Q4,1,1.3007349764224907,2.195449963285929,0.8947149868634381
A,Random Forest,aprendizaje,2017Q3,2017Q4,1,1.3007349764224907,2.257209007956766,0.9564740315342752
A,LSTM(16),red neuronal,2017Q3,2017Q4,1,1.3007349764224907,1.5753723191611453,0.2746373427386546
A,Comb. RF/AR(1) suave,combinacion,2017Q3,2017Q4,1,1.3007349764224907,2.2909523109013517,0.990217334478861
A,Comb. RF/AR(1) dura,combinacion,2017Q3,2017Q4,1,1.3007349764224907,2.2909523109013517,0.990217334478861
A,Comb. RF/ingenuo suave,combinacion,2017Q3,2017Q4,1,1.3007349764224907,2.2909523109013517,0.990217334478861
A,Comb. LSTM/AR(1) suave,combinacion,2017Q3,2017Q4,1,1.3007349764224907,2.51538405684268,1.2146490804201893
A,Comb. RF/AR(1) umbral min,combinacion,2017Q3,2017Q4,1,1.3007349764224907,2.2551619650545867,0.954426988632096
A,Ingenuo,referencia,2017Q4,2018Q1,1,1.5863680479974107,1.3007349764224907,-0.28563307157492
A,Deriva,referencia,2017Q4,2018Q1,1,1.5863680479974107,1.2100873273042327,-0.376280720693178
A,AR(1),Box-Jenkins,2017Q4,2018Q1,1,1.5863680479974107,1.7357239250159333,0.1493558770185226
A,"ARMA(2,2)",Box-Jenkins,2017Q4,2018Q1,1,1.5863680479974107,2.196197733543906,0.6098296855464951
A,"ARIMA(1,1,1)",Box-Jenkins,2017Q4,2018Q1,1,1.5863680479974107,1.298164047517022,-0.28820400048038874
A,Ridge sobre rezagos,regularizado,2017Q4,2018Q1,1,1.5863680479974107,2.935253172328676,1.3488851243312654
A,Random Forest,aprendizaje,2017Q4,2018Q1,1,1.5863680479974107,2.049478352144477,0.4631103041470661
A,LSTM(16),red neuronal,2017Q4,2018Q1,1,1.5863680479974107,1.4418109348203627,-0.144557113177048
A,Comb. RF/AR(1) suave,combinacion,2017Q4,2018Q1,1,1.5863680479974107,1.8464886132031466,0.2601205652057359
A,Comb. RF/AR(1) dura,combinacion,2017Q4,2018Q1,1,1.5863680479974107,1.8464886132031466,0.2601205652057359
A,Comb. RF/ingenuo suave,combinacion,2017Q4,2018Q1,1,1.5863680479974107,1.8464886132031466,0.2601205652057359
A,Comb. LSTM/AR(1) suave,combinacion,2017Q4,2018Q1,1,1.5863680479974107,2.013422629374992,0.42705458137758123
A,Comb. RF/AR(1) umbral min,combinacion,2017Q4,2018Q1,1,1.5863680479974107,1.8442019703784656,0.25783392238105485
A,Ingenuo,referencia,2018Q1,2018Q2,1,2.636790708290948,1.5863680479974107,-1.0504226602935374
A,Deriva,referencia,2018Q1,2018Q2,1,2.636790708290948,1.5035595805602606,-1.1332311277306875
A,AR(1),Box-Jenkins,2018Q1,2018Q2,1,2.636790708290948,1.9595361521014143,-0.6772545561895338
A,"ARMA(2,2)",Box-Jenkins,2018Q1,2018Q2,1,2.636790708290948,2.0043083994662427,-0.6324823088247054
A,"ARIMA(1,1,1)",Box-Jenkins,2018Q1,2018Q2,1,2.636790708290948,1.5877143732628776,-1.0490763350280705
A,Ridge sobre rezagos,regularizado,2018Q1,2018Q2,1,2.636790708290948,2.2019978719974667,-0.4347928362934814
A,Random Forest,aprendizaje,2018Q1,2018Q2,1,2.636790708290948,1.910541263967884,-0.726249444323064
A,LSTM(16),red neuronal,2018Q1,2018Q2,1,2.636790708290948,2.3033357094574045,-0.33345499883354357
A,Comb. RF/AR(1) suave,combinacion,2018Q1,2018Q2,1,2.636790708290948,1.9327233881919759,-0.7040673200989722
A,Comb. RF/AR(1) dura,combinacion,2018Q1,2018Q2,1,2.636790708290948,1.9327233881919759,-0.7040673200989722
A,Comb. RF/ingenuo suave,combinacion,2018Q1,2018Q2,1,2.636790708290948,1.9327233881919759,-0.7040673200989722
A,Comb. LSTM/AR(1) suave,combinacion,2018Q1,2018Q2,1,2.636790708290948,1.5133839562750753,-1.1234067520158728
A,Comb. RF/AR(1) umbral min,combinacion,2018Q1,2018Q2,1,2.636790708290948,1.9334512698499968,-0.7033394384409513
A,Ingenuo,referencia,2018Q2,2018Q3,1,2.8578586109448967,2.636790708290948,-0.2210679026539486
A,Deriva,referencia,2018Q2,2018Q3,1,2.8578586109448967,2.577109406725853,-0.2807492042190436
A,AR(1),Box-Jenkins,2018Q2,2018Q3,1,2.8578586109448967,2.837426854797158,-0.02043175614773851
A,"ARMA(2,2)",Box-Jenkins,2018Q2,2018Q3,1,2.8578586109448967,2.849228383076861,-0.00863022786803569
A,"ARIMA(1,1,1)",Box-Jenkins,2018Q2,2018Q3,1,2.8578586109448967,2.8267078360286426,-0.031150774916254065
A,Ridge sobre rezagos,regularizado,2018Q2,2018Q3,1,2.8578586109448967,3.520093728670533,0.6622351177256363
A,Random Forest,aprendizaje,2018Q2,2018Q3,1,2.8578586109448967,2.085267130728853,-0.7725914802160436
A,LSTM(16),red neuronal,2018Q2,2018Q3,1,2.8578586109448967,2.3071086221201664,-0.5507499888247303
A,Comb. RF/AR(1) suave,combinacion,2018Q2,2018Q3,1,2.8578586109448967,2.2635460873250937,-0.594312523619803
A,Comb. RF/AR(1) dura,combinacion,2018Q2,2018Q3,1,2.8578586109448967,2.2635460873250937,-0.594312523619803
A,Comb. RF/ingenuo suave,combinacion,2018Q2,2018Q3,1,2.8578586109448967,2.2635460873250937,-0.594312523619803
A,Comb. LSTM/AR(1) suave,combinacion,2018Q2,2018Q3,1,2.8578586109448967,2.4456593602892642,-0.41219925065563245
A,Comb. RF/AR(1) umbral min,combinacion,2018Q2,2018Q3,1,2.8578586109448967,2.2635460873250937,-0.594312523619803
A,Ingenuo,referencia,2018Q3,2018Q4,1,2.9090066756355837,2.8578586109448967,-0.051148064690687
