brazo,regimen,modelo,familia,mae,rmse,mae_mediano,ganancia_pct,dm_p,n,fallos,cobertura,rankeable,dm_p_holm
A,calma,AR(1),Box-Jenkins,0.9879583032079441,1.585245086016706,0.5186538526837987,13.382049795487816,0.30720733446704934,29,0,1.0,True,1.0
A,calma,"ARIMA(1,1,1)",Box-Jenkins,0.9949045340313469,1.5880909160584262,0.4595228128399338,12.773048106229357,0.31261004450370455,29,0,1.0,True,1.0
A,calma,Comb. RF/AR(1) umbral min,combinacion,1.10902113600089,1.6643786579218522,0.5462421352010751,2.76802449864344,0.8493340532660246,29,0,1.0,True,1.0
A,calma,Ingenuo,referencia,1.140593030515375,1.809963141741353,0.597066610152952,,,29,0,1.0,True,
A,calma,LSTM(16),red neuronal,1.1566478307363839,1.6151150440157895,0.677750066231533,-1.4075835807759063,0.9263736192617859,29,0,1.0,True,1.0
A,calma,Deriva,referencia,1.1579327664628978,1.8281500500286219,0.6490699005322664,-1.5202386375873012,0.17969409620516855,29,0,1.0,True,1.0
A,calma,"ARMA(2,2)",Box-Jenkins,1.1608427601448619,2.082022811022402,0.6098296855464951,-1.7753685221394866,0.9408063699912304,29,0,1.0,True,1.0
A,calma,Comb. RF/AR(1) dura,combinacion,1.1636055662148053,1.6924288933253662,0.6847977827438037,-2.0175939255943076,0.8942206970592858,29,0,1.0,True,1.0
A,calma,Random Forest,aprendizaje,1.1666782087719267,1.7438134885095,0.7725914802160436,-2.2869838372381768,0.9034116485486918,29,0,1.0,True,1.0
A,calma,Comb. RF/AR(1) suave,combinacion,1.188724693766154,1.7054018104850501,0.6847977827438037,-4.219880532588438,0.7810220411151511,29,0,1.0,True,1.0
A,calma,Comb. LSTM/AR(1) suave,combinacion,1.2382674421438375,1.7239951791761623,0.7951004824364092,-8.563476105436884,0.5775695979704133,29,0,1.0,True,1.0
A,calma,Comb. RF/ingenuo suave,combinacion,1.3476120505723876,1.9284879423670362,0.7040673200989722,-18.15012142968042,0.06822752384234154,29,0,1.0,True,0.750502762265757
