k_variables,n_anios,n_contiguos,desde,hasta,ratio_n_p,entra
3,66,66,1960,2025,22.0,inflacion_ipc
4,66,66,1960,2025,16.5,importaciones_pib
5,66,66,1960,2025,13.2,tipo_cambio
6,66,66,1960,2025,11.0,reservas
7,66,66,1960,2025,9.428571428571429,exportaciones_pib
8,66,66,1960,2025,8.25,poblacion_15_64
9,66,66,1960,2025,7.333333333333333,poblacion
10,66,66,1960,2025,6.6,urbanizacion
11,66,66,1960,2025,6.0,migracion_neta
12,66,66,1960,2025,5.5,inversion_pib
13,66,66,1960,2025,5.076923076923077,consumo_hogares_pib
14,66,66,1960,2025,4.714285714285714,gasto_publico_pib
15,65,65,1961,2025,4.333333333333333,crecimiento_poblacional
16,65,65,1961,2025,4.0625,deflactor_pib
17,65,65,1961,2025,3.823529411764706,pib_crecimiento
18,64,64,1961,2024,3.5555555555555554,esperanza_vida
19,62,35,1990,2024,1.8421052631578947,m3_pib
20,62,35,1990,2024,1.75,credito_privado_pib
21,55,35,1990,2024,1.6666666666666667,cuenta_corriente_pib
22,53,35,1990,2024,1.5909090909090908,ied_pib
23,53,35,1990,2024,1.5217391304347827,remesas_pib
24,37,35,1990,2024,1.4583333333333333,tasa_interes_real
25,35,35,1990,2024,1.4,participacion_laboral
26,34,34,1991,2024,1.3076923076923077,desempleo
27,34,34,1991,2024,1.2592592592592593,productividad
28,34,34,1991,2024,1.2142857142857142,empleo_poblacion
29,27,17,2008,2024,0.5862068965517241,gini
30,27,17,2008,2024,0.5666666666666667,pobreza_extrema
31,20,17,2008,2024,0.5483870967741935,ingresos_tributarios_pib
32,20,17,2008,2024,0.53125,deuda_publica_pib
33,13,13,2012,2024,0.3939393939393939,pobreza_nacional
