modelo,familia,origen,objetivo,paso,real,pronostico,error
Ingenuo,referencia,1990,1991,1,2.00160759559029,4.28199833053058,2.2803907349402905
Media historica,referencia,1990,1991,1,2.00160759559029,4.687506841924348,2.685899246334058
Media 5 anios,referencia,1990,1991,1,2.00160759559029,4.590655194154438,2.5890475985641483
Deriva,referencia,1990,1991,1,2.00160759559029,4.254163204535391,2.2525556089451015
AR(1),Box-Jenkins,1990,1991,1,2.00160759559029,4.491481630404583,2.489874034814293
AR(2),Box-Jenkins,1990,1991,1,2.00160759559029,4.314169857651928,2.312562262061638
MA(1),Box-Jenkins,1990,1991,1,2.00160759559029,4.612968603478034,2.6113610078877443
MA(2),Box-Jenkins,1990,1991,1,2.00160759559029,4.930137653125036,2.928530057534746
"ARMA(1,1)",Box-Jenkins,1990,1991,1,2.00160759559029,4.43053166349104,2.42892406790075
"ARMA(2,1)",Box-Jenkins,1990,1991,1,2.00160759559029,4.026205485370591,2.024597889780301
"ARIMA(1,1,1)",Box-Jenkins,1990,1991,1,2.00160759559029,3.7717911790748433,1.7701835834845534
"ARIMA(2,1,0)",Box-Jenkins,1990,1991,1,2.00160759559029,3.895165066022835,1.8935574704325453
AR(1)+COVID,Box-Jenkins,1990,1991,1,2.00160759559029,4.491481630404583,2.489874034814293
"ARMA(1,1)+COVID",Box-Jenkins,1990,1991,1,2.00160759559029,4.43053166349104,2.42892406790075
"SARIMAX(1,0,0)+macro",con exogenas,1990,1991,1,2.00160759559029,-5.783020899835036,-7.784628495425326
"SARIMAX(1,0,1)+macro+COVID",con exogenas,1990,1991,1,2.00160759559029,-5.777162305364436,-7.7787699009547255
VAR(2),con exogenas,1990,1991,1,2.00160759559029,4.396495375807291,2.394887780217001
Ridge,regularizado,1990,1991,1,2.00160759559029,3.164694440643851,1.1630868450535612
Lasso,regularizado,1990,1991,1,2.00160759559029,3.955382939037154,1.953775343446864
ElasticNet,regularizado,1990,1991,1,2.00160759559029,3.6537283188121448,1.6521207232218549
Factores PCA + AR,regularizado,1990,1991,1,2.00160759559029,3.277220304896484,1.275612709306194
Random Forest,aprendizaje,1990,1991,1,2.00160759559029,2.88430786442469,0.8827002688343999
Gradient Boosting,aprendizaje,1990,1991,1,2.00160759559029,3.988562169179291,1.986954573589001
MLP,aprendizaje,1990,1991,1,2.00160759559029,2.5855778333877866,0.5839702377974967
LSTM,red neuronal,1990,1991,1,2.00160759559029,4.53321124077603,2.53160364518574
CNN 1D,red neuronal,1990,1991,1,2.00160759559029,4.622766010561384,2.6211584149710943
