modelo,familia,mae,rmse,mae_mediano,ganancia_pct,dm_p,n,fallos
AR(1)+COVID,Box-Jenkins,2.2573639296171657,3.2522949458218315,1.5635289346824932,19.034876390608545,0.16879491252024048,32,0
"ARMA(1,1)+COVID",Box-Jenkins,2.2745356856676335,3.2619303915761493,1.5480388008328143,18.418975102838687,0.18108956735012582,32,0
LSTM,red neuronal,2.315204225908765,3.359441088109339,1.3926852373150551,16.960312038174962,0.24824478400869776,32,0
MA(1),Box-Jenkins,2.331304258871457,3.550354707083061,1.5613868836343043,16.382850361820147,0.18654271471852268,32,0
Media historica,referencia,2.380909352922436,3.381315068910621,1.5767100992859358,14.603658925827744,0.39876110852808083,32,0
AR(1),Box-Jenkins,2.398598219192146,3.7082679186021155,1.7083708109056235,13.96921038820096,0.11842212076620823,32,0
"ARMA(1,1)",Box-Jenkins,2.4302952396617234,3.693626180022581,1.5618473046345616,12.832329822910815,0.1612711691701787,32,0
Lasso,regularizado,2.4430164307125994,3.4975656842028284,1.9252987832783985,12.376057445923049,0.36146088309542246,32,0
ElasticNet,regularizado,2.495708107399403,3.5616768276382262,1.9637390613911965,10.486159206583034,0.4150601267302477,32,0
CNN 1D,red neuronal,2.5150049497070777,3.569009198526275,2.0647651944125465,9.794037213220285,0.5244573337782674,32,0
Random Forest,aprendizaje,2.518516753849182,3.634317227208273,1.7757768833426038,9.668078942723024,0.4758469825784001,32,0
AR(2),Box-Jenkins,2.5522571647213517,3.830929376447784,1.635474918344073,8.457907866161108,0.38880696738924353,32,0
"SARIMAX(1,0,0)+macro",con exogenas,2.5920625134909816,4.07209105193923,1.7303900676428763,7.030204986194111,0.20760817415179425,32,0
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2.607889905950895,3.6621950483283414,1.8023837520870059,6.46252213713373,0.5215671561054291,32,0
"ARIMA(1,1,1)",Box-Jenkins,2.615934025881476,3.866153505601406,1.7621949225896318,6.174002791199673,0.43950812527630995,32,0
Media 5 anios,referencia,2.661015288032268,3.6125704132144896,2.059877257524276,4.557068138077391,0.7589545832985003,32,0
"ARMA(2,1)",Box-Jenkins,2.674463146578775,4.0431401252722585,1.7218305588496023,4.074732297048788,0.6153786053480724,32,0
MA(2),Box-Jenkins,2.7074734376425873,3.9444812171418193,1.880430866836016,2.8907485090129748,0.7798606862763852,32,0
Ridge,regularizado,2.7200593186331297,3.9598250956701966,1.939444391727601,2.439329313037264,0.8398205030011386,32,0
Ingenuo,referencia,2.788069515594892,4.479487941861569,1.4145208005012297,,,32,0
Deriva,referencia,2.8166084189531357,4.522632253918231,1.4734692931575635,-1.0236080269381054,0.03961818493981058,32,0
Factores PCA + AR,regularizado,2.8211251358365868,4.0304450612481,2.219836166702879,-1.1856096147101258,0.9194403632632696,32,0
Gradient Boosting,aprendizaje,2.8483509767609805,4.0602492861417305,1.8908743080476667,-2.1621218850142787,0.8582168831456193,32,0
"ARIMA(2,1,0)",Box-Jenkins,2.896846291347953,4.225538525523506,1.8572898071812185,-3.9015087373046153,0.7179600628827638,32,0
VAR(2),con exogenas,3.476722128349819,4.938699114749825,2.452281587719149,-24.69998000060587,0.09837324429750463,32,0
MLP,aprendizaje,5.119741647422938,8.792455414975098,2.1652529081937493,-83.63034417850719,0.02134488347958041,32,0
