modelo,completo,completo |rank,sin COVID (excluye 2020-2021),sin COVID (excluye 2020-2021) |rank,solo COVID (2020-2021),solo COVID (2020-2021) |rank,post-COVID (2022+),post-COVID (2022+) |rank
AR(1)+COVID,2.2573639296171653,1.0,2.0620675518705345,3.0,5.18680959581663,2.0,3.0193207881190647,13.0
"ARMA(1,1)+COVID",2.274535685667634,2.0,2.0767190972060234,6.0,5.241784512591789,3.0,3.05508935868784,15.0
LSTM,2.315204225908765,3.0,2.068427372085821,4.0,6.016857033252927,5.0,2.9796170100602968,12.0
MA(1),2.331304258871457,4.0,2.0250441121931484,1.0,6.925206459046093,6.0,2.7018682475792666,8.0
Media historica,2.380909352922436,5.0,2.1975205869103407,13.0,5.13174084310387,1.0,2.8534711785181477,10.0
AR(1),2.398598219192146,6.0,2.0536577630929975,2.0,7.5727050606793735,8.0,2.8931739564560086,11.0
"ARMA(1,1)",2.4302952396617234,7.0,2.0759338848967173,5.0,7.745715561136819,9.0,3.0433111740482457,14.0
Lasso,2.4430164307125994,8.0,2.1216496754997487,10.0,7.263517758905355,7.0,2.496266298689684,6.0
ElasticNet,2.495708107399403,9.0,2.120592779372707,9.0,8.122438027799845,13.0,2.081797957848078,5.0
CNN 1D,2.5150049497070777,10.0,2.3066464283619466,21.0,5.640382769884033,4.0,3.290076589550768,20.0
Random Forest,2.5185167538491826,11.0,2.078242891116612,7.0,9.122624694837752,16.0,1.5338369033099408,1.0
AR(2),2.5522571647213517,12.0,2.1027793408772464,8.0,9.294424522382934,17.0,3.170183573385402,16.0
"SARIMAX(1,0,0)+macro",2.5920625134909816,13.0,2.179726226443945,12.0,8.777106819196536,15.0,3.7043343080407163,24.0
"SARIMAX(1,0,1)+macro+COVID",2.607889905950895,14.0,2.2600822436917243,17.0,7.825004839838466,12.0,2.753390253169773,9.0
"ARIMA(1,1,1)",2.615934025881476,15.0,2.24363568161074,15.0,8.200409189942508,14.0,2.5765786931485026,7.0
Media 5 anios,2.661015288032268,16.0,2.3190193477630876,22.0,7.790954392069972,11.0,1.999134310044424,4.0
"ARMA(2,1)",2.674463146578775,17.0,2.1795284914565403,11.0,10.098482973412288,19.0,3.2686320944855503,18.0
MA(2),2.7074734376425873,18.0,2.2648189897582993,18.0,9.347290155906904,18.0,3.1909083045162436,17.0
Ridge,2.7200593186331297,19.0,2.2082685125179977,14.0,10.396921410360111,20.0,1.708161129049701,2.0
Ingenuo,2.788069515594892,20.0,2.2586063758244053,16.0,10.730016612152198,21.0,3.568972735243186,22.0
Deriva,2.8166084189531357,21.0,2.2785866856676376,19.0,10.886934418235608,23.0,3.623342801187116,23.0
Factores PCA + AR,2.8211251358365868,22.0,2.2857249509897355,20.0,10.852127908539359,22.0,1.8364691375543754,3.0
Gradient Boosting,2.8483509767609805,23.0,2.5202495134078813,24.0,7.769872927057477,10.0,6.060575947051834,25.0
"ARIMA(2,1,0)",2.8968462913479534,24.0,2.3490301993174114,23.0,11.114087671806073,24.0,3.458078180176677,21.0
VAR(2),3.476722128349819,25.0,2.850991867923222,25.0,12.862676034748763,25.0,3.2774531396943107,19.0
MLP,5.119741647422938,26.0,4.384946988528214,26.0,16.141661530843805,26.0,15.627053704675246,26.0
