modelo,familia,mae,rmse,mae_mediano,ganancia_pct,dm_p,n,fallos,cobertura,rankeable,dm_p_holm
"ARMA(2,2)",Box-Jenkins,2.0729853962373914,3.658945784770478,1.2083131117587387,7.708082862911125,0.08289119932714553,126,0,1.0,True,0.9946943919257464
AR(1),Box-Jenkins,2.0799175825831524,3.4241182825478083,1.3377298219510334,7.399453207843076,0.03873647709604897,126,0,1.0,True,0.5035742022486367
Random Forest,aprendizaje,2.102891362441597,3.8801728610209745,1.182870181911087,6.376631633282182,0.39308051494510127,126,0,1.0,True,1.0
"ARIMA(1,1,1)",Box-Jenkins,2.128586837481885,3.7064832685731277,1.245344859912374,5.232636766014509,0.17817699200321038,126,0,1.0,True,1.0
"ARIMA(2,1,2)",Box-Jenkins,2.157071496709564,3.722539324550703,1.2430453669281578,3.964463910628846,0.3530549037213313,126,0,1.0,True,1.0
"SARIMA(1,1,1)(1,1,1,12)",estacional,2.2108873553404464,3.667561242905521,1.3355596381175747,1.5685141975060657,0.8314493214069775,126,0,1.0,True,1.0
"SARIMA(2,1,1)(0,1,1,12)",estacional,2.242135750330059,3.8453990989204727,1.274711112492292,0.17729634991149323,0.9670642624035428,126,0,1.0,True,1.0
Ingenuo,referencia,2.2461180356219206,3.5043651946627503,1.630134854743559,,,126,0,1.0,True,
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2.248101264080097,3.7042120860625958,1.3872644435896153,-0.08829582536284963,0.9903763493865833,126,0,1.0,True,1.0
Ridge sobre rezagos,regularizado,2.253010818452862,3.8356297099453864,1.2891618289919462,-0.30687536102851354,0.9637621394819944,126,0,1.0,True,1.0
Deriva,referencia,2.2566932361654217,3.514089480086205,1.6252090317945551,-0.47082122915116376,0.00021331102636816638,126,0,1.0,True,0.0036262874482588282
LSTM(32) v24,red neuronal,2.262398614561369,4.25246680185674,1.2630364067022077,-0.7248318512762753,0.9372915150959773,126,0,1.0,True,1.0
AR(12),Box-Jenkins,2.262547532348035,3.84649980694492,1.2923987447314431,-0.7314618584399302,0.9147685925287814,126,0,1.0,True,1.0
LSTM(16) v12,red neuronal,2.4313379791107965,4.408040765603897,1.3654813199035842,-8.24622484443882,0.4273847241156764,126,0,1.0,True,1.0
CNN 1D v12,red neuronal,2.525129588582351,4.53973151818836,1.251520584036405,-12.421945264473866,0.2581923129948302,126,0,1.0,True,1.0
MA(2),Box-Jenkins,2.6807500946885066,3.9533417933903428,1.7452035152650789,-19.350365927952762,0.011138396362093721,126,0,1.0,True,0.16707594543140583
CNN 1D v24,red neuronal,2.8079155508556166,4.346832267210722,1.8121231646929545,-25.01193197881704,0.0186090833600893,126,0,1.0,True,0.26052716704125023
MLP,aprendizaje,3.840642563937212,6.89939146132164,1.618117239337784,-70.99023751322082,0.001068263298008973,126,0,1.0,True,0.01709221276814357
Ingenuo estacional,referencia,5.449446720224022,8.980394128447989,2.5486051636969487,-142.61622202393033,3.075319933511698e-08,126,0,1.0,True,5.535575880321057e-07
