modelo,completo,completo |rank,sin COVID (excluye 2020-2021),sin COVID (excluye 2020-2021) |rank,solo COVID (2020-2021),solo COVID (2020-2021) |rank,post-COVID (2022+),post-COVID (2022+) |rank
"ARMA(2,2)",2.0729853962373914,1.0,1.544106509798113,4.0,4.320720663604324,6.0,2.0380552602540902,4.0
AR(1),2.0799175825831524,2.0,1.697045825194491,11.0,3.7071225514849595,1.0,2.1367791434594263,9.0
Random Forest,2.102891362441597,3.0,1.3815437872684135,1.0,5.168618556927625,10.0,1.7436498381473833,1.0
"ARIMA(1,1,1)",2.128586837481885,4.0,1.5812489615819858,7.0,4.4547728100564505,7.0,2.101040413328547,6.0
"ARIMA(2,1,2)",2.157071496709564,5.0,1.581286701496515,8.0,4.604156876365022,8.0,2.0582922687019334,5.0
"SARIMA(1,1,1)(1,1,1,12)",2.2108873553404464,6.0,1.770319417596443,13.0,4.083301090752459,3.0,2.512241622754427,16.0
"SARIMA(2,1,1)(0,1,1,12)",2.242135750330059,7.0,1.6612178485441165,10.0,4.711036832920321,9.0,2.1973409458304043,10.0
Ingenuo,2.2461180356219206,8.0,1.8140731647084227,14.0,4.082308737004291,2.0,2.2917001011318026,12.0
"SARIMAX(1,1,1)(1,1,1,12)+COVID",2.248101264080097,9.0,1.7701492595371768,12.0,4.279397283387508,5.0,2.5119141487535743,15.0
Ridge sobre rezagos,2.253010818452862,10.0,1.5548194392857426,5.0,5.220324179913121,11.0,2.101058399292036,7.0
Deriva,2.2566932361654217,11.0,1.8187589536591147,15.0,4.117913936817225,4.0,2.2966243610661303,13.0
LSTM(32) v24,2.262398614561369,12.0,1.500954938357838,3.0,5.498534238426383,13.0,1.9202976477692364,3.0
AR(12),2.2625475323480355,13.0,1.5617183712918479,6.0,5.241071466836837,12.0,2.1093416635683124,8.0
LSTM(16) v12,2.4313379791107965,14.0,1.4597930876376584,2.0,6.5604037678716365,17.0,1.9103535715465219,2.0
CNN 1D v12,2.525129588582351,15.0,1.594134220029909,9.0,6.481859904930233,16.0,2.2077643622284695,11.0
MA(2),2.6807500946885066,16.0,1.9850008824209953,17.0,5.637684246825432,14.0,2.5489251509676762,17.0
CNN 1D v24,2.807915550855617,17.0,1.9664661448802312,16.0,6.38407552625101,15.0,2.3226710720287147,14.0
MLP,3.840642563937212,18.0,2.0780097668883912,18.0,11.331831951394697,18.0,2.891810939358598,18.0
Ingenuo estacional,5.449446720224022,19.0,3.0238538378839093,19.0,15.758216470169495,19.0,4.36061570831985,19.0
