modelo,calma,ruptura
AR(1),0.9476619756538176,0.8656518919591262
"ARIMA(1,1,1)",0.952458268832815,1.0746868501252669
Comb. 50/50 RF-AR(1),0.9877476986995795,0.8656518919591262
Ingenuo,1.0,1.0
Deriva,1.007357256269903,1.0125044594934651
Comb. LSTM/AR(1) suave,1.0505449499482222,0.8688768176994364
Random Forest,1.0649036965190535,0.8642473190136148
"ARMA(2,2)",1.0649525703528653,1.0340129583770303
Comb. RF/AR(1) dura,1.0805775390011894,0.8898807025799469
LSTM(16),1.0826147643068258,0.8111662148525023
Comb. RF/ingenuo suave,1.0949261337393432,1.0196450765996024
Comb. RF/AR(1) suave,1.098442502042579,0.8857324186090489
Ridge sobre rezagos,1.2373495886479167,0.8956927999075147
