modelo,familia,origen,paso,real,pronostico,error,iso3
Ingenuo,referencia,2014Q4,1,0.333100876090886,-2.559075373418651,-2.892176249509537,ARG
Deriva,referencia,2014Q4,1,0.333100876090886,-2.8342819881318366,-3.1673828642227226,ARG
AR(1),Box-Jenkins,2014Q4,1,0.333100876090886,-1.821260382509646,-2.154361258600532,ARG
"ARMA(2,2)",Box-Jenkins,2014Q4,1,0.333100876090886,-1.9462339503890862,-2.279334826479972,ARG
"ARIMA(1,1,1)",Box-Jenkins,2014Q4,1,0.333100876090886,-2.0485375130193444,-2.3816383891102304,ARG
Ridge sobre rezagos,regularizado,2014Q4,1,0.333100876090886,0.18105401139324373,-0.15204686469764228,ARG
Random Forest,aprendizaje,2014Q4,1,0.333100876090886,-0.8682021055976287,-1.2013029816885146,ARG
LSTM(16),red neuronal,2014Q4,1,0.333100876090886,0.20103086331732722,-0.1320700127735588,ARG
Comb. RF/AR(1) suave,combinacion,2014Q4,1,0.333100876090886,-1.6433634070657879,-1.9764642831566739,ARG
Comb. RF/AR(1) dura,combinacion,2014Q4,1,0.333100876090886,-1.6433634070657879,-1.9764642831566739,ARG
Comb. RF/ingenuo suave,combinacion,2014Q4,1,0.333100876090886,-1.6433634070657879,-1.9764642831566739,ARG
Comb. LSTM/AR(1) suave,combinacion,2014Q4,1,0.333100876090886,0.49453641459069964,0.16143553849981362,ARG
Comb. 50/50 RF-AR(1),combinacion,2014Q4,1,0.333100876090886,-1.821260382509646,-2.154361258600532,ARG
Ingenuo,referencia,2015Q1,1,3.701294414394729,0.333100876090886,-3.368193538303843,ARG
Deriva,referencia,2015Q1,1,3.701294414394729,0.13707883298326842,-3.5642155814114607,ARG
AR(1),Box-Jenkins,2015Q1,1,3.701294414394729,0.7234246253318719,-2.977869789062857,ARG
"ARMA(2,2)",Box-Jenkins,2015Q1,1,3.701294414394729,2.178414965704709,-1.52287944869002,ARG
"ARIMA(1,1,1)",Box-Jenkins,2015Q1,1,3.701294414394729,1.4550951899685005,-2.2461992244262285,ARG
Ridge sobre rezagos,regularizado,2015Q1,1,3.701294414394729,2.499399299985366,-1.2018951144093633,ARG
Random Forest,aprendizaje,2015Q1,1,3.701294414394729,1.3363129730484438,-2.364981441346285,ARG
LSTM(16),red neuronal,2015Q1,1,3.701294414394729,2.4976410760042898,-1.2036533383904393,ARG
Comb. RF/AR(1) suave,combinacion,2015Q1,1,3.701294414394729,0.7321823746879069,-2.9691120397068222,ARG
Comb. RF/AR(1) dura,combinacion,2015Q1,1,3.701294414394729,0.7321823746879069,-2.9691120397068222,ARG
Comb. RF/ingenuo suave,combinacion,2015Q1,1,3.701294414394729,0.7321823746879069,-2.9691120397068222,ARG
Comb. LSTM/AR(1) suave,combinacion,2015Q1,1,3.701294414394729,2.416616099755163,-1.284678314639566,ARG
Comb. 50/50 RF-AR(1),combinacion,2015Q1,1,3.701294414394729,0.7239637329688642,-2.977330681425865,ARG
Ingenuo,referencia,2015Q2,1,4.33248639088355,3.701294414394729,-0.6311919764888207,ARG
Deriva,referencia,2015Q2,1,4.33248639088355,3.5922044586386104,-0.7402819322449394,ARG
AR(1),Box-Jenkins,2015Q2,1,4.33248639088355,3.6166644478367393,-0.7158219430468105,ARG
"ARMA(2,2)",Box-Jenkins,2015Q2,1,4.33248639088355,7.476858663494314,3.144372272610764,ARG
"ARIMA(1,1,1)",Box-Jenkins,2015Q2,1,4.33248639088355,5.0543706206345735,0.7218842297510237,ARG
Ridge sobre rezagos,regularizado,2015Q2,1,4.33248639088355,6.001132329786886,1.6686459389033361,ARG
Random Forest,aprendizaje,2015Q2,1,4.33248639088355,3.3128138190215894,-1.0196725718619604,ARG
LSTM(16),red neuronal,2015Q2,1,4.33248639088355,5.316710355065387,0.9842239641818376,ARG
Comb. RF/AR(1) suave,combinacion,2015Q2,1,4.33248639088355,2.8819280029878,-1.4505583878957498,ARG
Comb. RF/AR(1) dura,combinacion,2015Q2,1,4.33248639088355,2.8819280029878,-1.4505583878957498,ARG
Comb. RF/ingenuo suave,combinacion,2015Q2,1,4.33248639088355,2.8819280029878,-1.4505583878957498,ARG
Comb. LSTM/AR(1) suave,combinacion,2015Q2,1,4.33248639088355,5.592445982924761,1.259959592041211,ARG
Comb. 50/50 RF-AR(1),combinacion,2015Q2,1,4.33248639088355,3.2317289045112845,-1.1007574863722653,ARG
Ingenuo,referencia,2015Q3,1,2.588896087402004,4.33248639088355,1.7435903034815459,ARG
Deriva,referencia,2015Q3,1,2.588896087402004,4.241022195418977,1.6521261080169731,ARG
AR(1),Box-Jenkins,2015Q3,1,2.588896087402004,4.157004865689659,1.5681087782876553,ARG
"ARMA(2,2)",Box-Jenkins,2015Q3,1,2.588896087402004,6.534081639327553,3.945185551925549,ARG
"ARIMA(1,1,1)",Box-Jenkins,2015Q3,1,2.588896087402004,4.555915646777653,1.9670195593756494,ARG
Ridge sobre rezagos,regularizado,2015Q3,1,2.588896087402004,5.302187822670087,2.7132917352680828,ARG
Random Forest,aprendizaje,2015Q3,1,2.588896087402004,2.3176935116614445,-0.2712025757405594,ARG
LSTM(16),red neuronal,2015Q3,1,2.588896087402004,5.850292280203811,3.261396192801807,ARG
Comb. RF/AR(1) suave,combinacion,2015Q3,1,2.588896087402004,2.931951840996071,0.34305575359406726,ARG
Comb. RF/AR(1) dura,combinacion,2015Q3,1,2.588896087402004,2.931951840996071,0.34305575359406726,ARG
Comb. RF/ingenuo suave,combinacion,2015Q3,1,2.588896087402004,2.931951840996071,0.34305575359406726,ARG
Comb. LSTM/AR(1) suave,combinacion,2015Q3,1,2.588896087402004,4.169748558632044,1.58085247123004,ARG
Comb. 50/50 RF-AR(1),combinacion,2015Q3,1,2.588896087402004,3.795956050057673,1.207059962655669,ARG
Ingenuo,referencia,2015Q4,1,0.3793263748892661,2.588896087402004,2.209569712512738,ARG
Deriva,referencia,2015Q4,1,0.3793263748892661,2.459010354541688,2.079683979652422,ARG
AR(1),Box-Jenkins,2015Q4,1,0.3793263748892661,2.6757472413173593,2.296420866428093,ARG
"ARMA(2,2)",Box-Jenkins,2015Q4,1,0.3793263748892661,-0.2574392527031819,-0.636765627592448,ARG
"ARIMA(1,1,1)",Box-Jenkins,2015Q4,1,0.3793263748892661,1.8745291263419404,1.4952027514526742,ARG
Ridge sobre rezagos,regularizado,2015Q4,1,0.3793263748892661,2.1292119940398484,1.7498856191505823,ARG
Random Forest,aprendizaje,2015Q4,1,0.3793263748892661,0.5392917127100604,0.15996533782079425,ARG
LSTM(16),red neuronal,2015Q4,1,0.3793263748892661,1.4266669781401036,1.0473406032508374,ARG
Comb. RF/AR(1) suave,combinacion,2015Q4,1,0.3793263748892661,1.179239355763982,0.7999129808747159,ARG
Comb. RF/AR(1) dura,combinacion,2015Q4,1,0.3793263748892661,1.179239355763982,0.7999129808747159,ARG
Comb. RF/ingenuo suave,combinacion,2015Q4,1,0.3793263748892661,1.179239355763982,0.7999129808747159,ARG
Comb. LSTM/AR(1) suave,combinacion,2015Q4,1,0.3793263748892661,1.1386472072634253,0.7593208323741591,ARG
Comb. 50/50 RF-AR(1),combinacion,2015Q4,1,0.3793263748892661,2.136123520069432,1.7567971451801658,ARG
Ingenuo,referencia,2016Q1,1,-3.7744433279202294,0.3793263748892661,4.1537697028094955,ARG
Deriva,referencia,2016Q1,1,-3.7744433279202294,0.2021750970368497,3.976618424957079,ARG
AR(1),Box-Jenkins,2016Q1,1,-3.7744433279202294,0.785560163555503,4.560003491475732,ARG
"ARMA(2,2)",Box-Jenkins,2016Q1,1,-3.7744433279202294,-3.1271119373992873,0.6473313905209421,ARG
"ARIMA(1,1,1)",Box-Jenkins,2016Q1,1,-3.7744433279202294,-0.48527030403146054,3.289173023888769,ARG
Ridge sobre rezagos,regularizado,2016Q1,1,-3.7744433279202294,-0.6553030811752478,3.1191402467449816,ARG
Random Forest,aprendizaje,2016Q1,1,-3.7744433279202294,-0.9404759378646755,2.833967390055554,ARG
LSTM(16),red neuronal,2016Q1,1,-3.7744433279202294,-3.2458115929188827,0.5286317350013467,ARG
Comb. RF/AR(1) suave,combinacion,2016Q1,1,-3.7744433279202294,-0.8331125237388565,2.941330804181373,ARG
Comb. RF/AR(1) dura,combinacion,2016Q1,1,-3.7744433279202294,-0.8331125237388565,2.941330804181373,ARG
Comb. RF/ingenuo suave,combinacion,2016Q1,1,-3.7744433279202294,-0.8331125237388565,2.941330804181373,ARG
Comb. LSTM/AR(1) suave,combinacion,2016Q1,1,-3.7744433279202294,-1.895049890726649,1.8793934371935803,ARG
Comb. 50/50 RF-AR(1),combinacion,2016Q1,1,-3.7744433279202294,0.2037230059121286,3.978166333832358,ARG
Ingenuo,referencia,2016Q2,1,-3.3259762439694307,-3.7744433279202294,-0.4484670839507987,ARG
Deriva,referencia,2016Q2,1,-3.3259762439694307,-4.039963904105026,-0.713987660135595,ARG
