iso3,regimen,mejor,familia,mae,mae_ingenuo,ganancia_pct,p,p_holm,n
ARG,calma,Random Forest,aprendizaje,1.8355158635608058,2.174741793727052,15.598446268183597,0.25046302161835715,1.0,33
ARG,ruptura,LSTM(16),red neuronal,4.967307139553865,8.774369086930527,43.38844091989819,0.01714577503128626,0.18860352534414887,8
BRA,calma,"ARIMA(1,1,1)",Box-Jenkins,1.0478684778135805,1.1297669829795454,7.2491501698848655,0.1339872955866691,0.6699364779333455,65
BRA,ruptura,Ridge sobre rezagos,regularizado,4.3130352038741515,5.625562084616423,23.331479788152855,0.13900822653441447,1.0,8
CHL,calma,AR(1),Box-Jenkins,1.1656417570469952,1.226219200116837,4.940180602625521,0.2932806815033998,1.0,65
CHL,ruptura,LSTM(16),red neuronal,5.466721245838071,6.776249897151182,19.32527092697175,0.36297301287275413,1.0,8
COL,calma,AR(1),Box-Jenkins,0.9467202781000972,1.119035834679607,15.398573596961329,0.2759500671704843,1.0,29
COL,ruptura,LSTM(16),red neuronal,6.145390595160649,7.776867246272081,20.97858429939764,0.02721250020922004,0.3265500025106405,8
CRI,calma,Ridge sobre rezagos,regularizado,0.9521810017705549,1.10266356247769,13.647187213568579,0.18509989738864688,1.0,86
CRI,ruptura,Ridge sobre rezagos,regularizado,2.853221320492376,4.215294855426188,32.31265146684736,0.22363869347211537,1.0,8
ECU,calma,LSTM(16),red neuronal,1.489305471462996,1.5659135818244345,4.892231043311012,0.6632144619547478,1.0,49
ECU,ruptura,LSTM(16),red neuronal,6.607351801523136,7.962578079639913,17.019943347017875,0.20738950007259765,1.0,8
HND,calma,Comb. LSTM/AR(1) suave,combinacion,0.8526495662386967,1.0426230916922978,18.220728753019667,0.0672138079446393,0.6049242715017537,49
HND,ruptura,LSTM(16),red neuronal,8.197985588489225,9.566858213795815,14.308486597330539,0.4463426908831591,1.0,8
MEX,calma,"ARIMA(1,1,1)",Box-Jenkins,0.9163689739328944,1.0162003478874992,9.823985414110181,0.17097156932633306,1.0,77
MEX,ruptura,Random Forest,aprendizaje,6.378673965714901,10.383472531932028,38.56897154493617,0.10428274004725939,0.7813375289159417,8
