modelo,mediana_calma,mediana_ruptura,n_paises_calma,n_paises_ruptura,paises_sig_calma,paises_sig_ruptura,p_wilcoxon_calma,p_wilcoxon_ruptura
AR(1),0.861697844700386,0.8290014105491021,20.0,20.0,4.0,0.0,0.0007076263427734375,0.001209259033203125
Comb. RF/AR(1) umbral min,0.8896733222744881,0.8512844977323402,20.0,20.0,3.0,0.0,0.0019855499267578125,0.0014324188232421875
"ARIMA(1,1,1)",0.8910567756250356,0.8283660236769692,20.0,20.0,3.0,0.0,0.00365447998046875,0.0014324188232421875
LSTM(16),0.9192304285837323,0.718571131142357,20.0,20.0,2.0,0.0,0.11398696899414062,0.002712249755859375
Random Forest,0.9400893881919505,0.8049013434932308,20.0,20.0,0.0,0.0,0.956329345703125,0.029575347900390625
"ARMA(2,2)",0.9485330680072539,0.8372460954870157,20.0,20.0,3.0,0.0,0.49800872802734375,0.0023250579833984375
Comb. RF/AR(1) dura,0.9741996635229466,0.8373602328349422,20.0,20.0,1.0,0.0,0.6742229461669922,0.029575347900390625
Comb. RF/AR(1) suave,0.9937156253864103,0.8296888906102815,20.0,20.0,1.0,0.0,0.8694877624511719,0.023950576782226562
Ingenuo,1.0,1.0,20.0,20.0,0.0,0.0,,
Ridge sobre rezagos,1.011086561929872,0.8535910711575017,20.0,20.0,0.0,0.0,0.13272666931152344,0.021484375
Deriva,1.0122247471895296,1.006117989847727,20.0,20.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06
Comb. RF/ingenuo suave,1.0167112637383093,0.8463151962145636,20.0,20.0,1.0,0.0,0.7285060882568359,0.04405403137207031
Comb. LSTM/AR(1) suave,,0.711644686462386,,20.0,,0.0,,0.002712249755859375
