modelo,familia,origen,objetivo,paso,real,pronostico,error,iso3
Ingenuo,referencia,1990,1991,1,9.13311056738961,-2.46721377810472,-11.600324345494329,ARG
Deriva,referencia,1990,1991,1,9.13311056738961,-2.7394571110124457,-11.872567678402056,ARG
AR(1),Box-Jenkins,1990,1991,1,9.13311056738961,2.0115662238352443,-7.1215443435543655,ARG
"ARMA(2,2)",Box-Jenkins,1990,1991,1,9.13311056738961,2.1374289242886486,-6.99568164310096,ARG
"ARIMA(1,1,1)",Box-Jenkins,1990,1991,1,9.13311056738961,-0.0352898730680162,-9.168400440457626,ARG
Ridge sobre rezagos,regularizado,1990,1991,1,9.13311056738961,3.521660470975725,-5.6114500964138845,ARG
Random Forest,aprendizaje,1990,1991,1,9.13311056738961,3.2283730720483583,-5.904737495341252,ARG
LSTM(16),red neuronal,1990,1991,1,9.13311056738961,,,ARG
Comb. RF/AR(1) suave,combinacion,1990,1991,1,9.13311056738961,1.919571764879484,-7.213538802510126,ARG
Comb. RF/AR(1) dura,combinacion,1990,1991,1,9.13311056738961,1.919571764879484,-7.213538802510126,ARG
Comb. RF/ingenuo suave,combinacion,1990,1991,1,9.13311056738961,1.919571764879484,-7.213538802510126,ARG
Comb. LSTM/AR(1) suave,combinacion,1990,1991,1,9.13311056738961,,,ARG
Comb. RF/AR(1) umbral min,combinacion,1990,1991,1,9.13311056738961,1.9672575023708592,-7.16585306501875,ARG
Ingenuo,referencia,1991,1992,1,7.93729155643076,9.13311056738961,1.1958190109588491,ARG
Deriva,referencia,1991,1992,1,7.93729155643076,9.25661949042862,1.319327933997859,ARG
AR(1),Box-Jenkins,1991,1992,1,7.93729155643076,1.6732235871121806,-6.26406796931858,ARG
"ARMA(2,2)",Box-Jenkins,1991,1992,1,7.93729155643076,-0.6762705395803037,-8.613562096011064,ARG
"ARIMA(1,1,1)",Box-Jenkins,1991,1992,1,7.93729155643076,-0.0159714935788226,-7.953263050009583,ARG
Ridge sobre rezagos,regularizado,1991,1992,1,7.93729155643076,-1.871129108266915,-9.808420664697676,ARG
Random Forest,aprendizaje,1991,1992,1,7.93729155643076,0.7655511459245069,-7.171740410506254,ARG
LSTM(16),red neuronal,1991,1992,1,7.93729155643076,,,ARG
Comb. RF/AR(1) suave,combinacion,1991,1992,1,7.93729155643076,1.7630133814230473,-6.1742781750077125,ARG
Comb. RF/AR(1) dura,combinacion,1991,1992,1,7.93729155643076,1.7630133814230473,-6.1742781750077125,ARG
Comb. RF/ingenuo suave,combinacion,1991,1992,1,7.93729155643076,1.7630133814230473,-6.1742781750077125,ARG
Comb. LSTM/AR(1) suave,combinacion,1991,1992,1,7.93729155643076,,,ARG
Comb. RF/AR(1) umbral min,combinacion,1991,1992,1,7.93729155643076,1.6793563041877633,-6.257935252242997,ARG
Ingenuo,referencia,1992,1993,1,8.20697907221228,7.93729155643076,-0.269687515781519,ARG
Deriva,referencia,1992,1993,1,8.20697907221228,8.018241513856935,-0.1887375583553439,ARG
AR(1),Box-Jenkins,1992,1993,1,8.20697907221228,2.2743751351992008,-5.932603937013079,ARG
"ARMA(2,2)",Box-Jenkins,1992,1993,1,8.20697907221228,-1.810759712684633,-10.017738784896911,ARG
"ARIMA(1,1,1)",Box-Jenkins,1992,1993,1,8.20697907221228,2.165718024665169,-6.04126104754711,ARG
Ridge sobre rezagos,regularizado,1992,1993,1,8.20697907221228,-5.505528752880493,-13.712507825092771,ARG
Random Forest,aprendizaje,1992,1993,1,8.20697907221228,-2.412496239172845,-10.619475311385123,ARG
LSTM(16),red neuronal,1992,1993,1,8.20697907221228,1.7221075692900971,-6.484871502922182,ARG
Comb. RF/AR(1) suave,combinacion,1992,1993,1,8.20697907221228,0.0973216972922131,-8.109657374920067,ARG
Comb. RF/AR(1) dura,combinacion,1992,1993,1,8.20697907221228,0.0973216972922131,-8.109657374920067,ARG
Comb. RF/ingenuo suave,combinacion,1992,1993,1,8.20697907221228,0.0973216972922131,-8.109657374920067,ARG
Comb. LSTM/AR(1) suave,combinacion,1992,1993,1,8.20697907221228,,,ARG
Comb. RF/AR(1) umbral min,combinacion,1992,1993,1,8.20697907221228,2.2743751351992008,-5.932603937013079,ARG
Ingenuo,referencia,1993,1994,1,5.83620070368526,8.20697907221228,2.370778368527019,ARG
Deriva,referencia,1993,1994,1,5.83620070368526,8.29382707833706,2.4576263746518,ARG
AR(1),Box-Jenkins,1993,1994,1,5.83620070368526,2.693054343747037,-3.143146359938223,ARG
"ARMA(2,2)",Box-Jenkins,1993,1994,1,5.83620070368526,2.635985297492076,-3.200215406193184,ARG
"ARIMA(1,1,1)",Box-Jenkins,1993,1994,1,5.83620070368526,2.5937151576682576,-3.2424855460170026,ARG
