iso3,regimen,modelo,mae_rel,dm_p,gana_sig
ARG,calma,Comb. RF/ingenuo suave,0.8765831689045427,0.4078359771028024,False
ARG,calma,Comb. RF/AR(1) suave,0.9107643436355027,0.5820401941396126,False
ARG,calma,Random Forest,0.9108698065565894,0.6118095809058341,False
ARG,calma,Comb. RF/AR(1) umbral min,0.9119051077664038,0.5420489158407624,False
ARG,calma,AR(1),0.9178618398891679,0.5685396630555836,False
ARG,calma,LSTM(16),0.9299689871936324,0.7388665490824424,False
ARG,calma,Comb. RF/AR(1) dura,0.9426218783313889,0.7083565312565567,False
ARG,calma,"ARIMA(1,1,1)",0.943872858631592,0.7003695084789353,False
ARG,calma,"ARMA(2,2)",0.9483801196782714,0.7538967379292638,False
ARG,calma,Ingenuo,1.0,,False
ARG,calma,Ridge sobre rezagos,1.0060627866111356,0.972960068210641,False
ARG,calma,Deriva,1.0119398520844998,0.010928219880202702,False
ARG,ruptura,Comb. LSTM/AR(1) suave,0.6821547385565782,,False
ARG,ruptura,LSTM(16),0.7315733223916495,,False
ARG,ruptura,"ARMA(2,2)",0.7688877370898555,,False
ARG,ruptura,"ARIMA(1,1,1)",0.7732887205355966,,False
ARG,ruptura,AR(1),0.7751007019912293,,False
ARG,ruptura,Comb. RF/AR(1) umbral min,0.7823991504709539,,False
ARG,ruptura,Random Forest,0.807742288393212,,False
ARG,ruptura,Comb. RF/AR(1) suave,0.8438788138101456,,False
ARG,ruptura,Comb. RF/AR(1) dura,0.8438788138101456,,False
ARG,ruptura,Comb. RF/ingenuo suave,0.8438788138101456,,False
ARG,ruptura,Ridge sobre rezagos,0.9238001025844722,,False
ARG,ruptura,Ingenuo,1.0,,False
ARG,ruptura,Deriva,1.0046640263839721,,False
BOL,calma,AR(1),0.9307355787983632,0.6052715976832734,False
BOL,calma,Comb. RF/AR(1) umbral min,0.9654654858731593,0.8239510892958544,False
BOL,calma,Ingenuo,1.0,,False
BOL,calma,Random Forest,1.0082342323161475,0.9578326937870908,False
BOL,calma,Deriva,1.0095038217675385,0.2301217803437476,False
BOL,calma,Comb. RF/AR(1) dura,1.0262074191671378,0.8731913444421866,False
